suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_hashed,jenis_email,persetujuan,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,input_verifikasi_hashed,sumber_verifikasi_hashed,verified,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fip,pilihan_dpm_fkis
true,,true,,2020-12-18 11:30:47 +0700 WIB,true,f011e250688c1e7a3891e9dec38acdf0,student,Setuju,FH,FH,true,true,2736238153b5f7ee83895a47430cac8a,2736238153b5f7ee83895a47430cac8a,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 1,,,,,,
true,,true,,2020-12-18 09:49:57 +0700 WIB,true,6243f425f3c117f32343f4c4659fb2d4,student,Setuju,FKis,FKis,true,true,f0d49cc5281b9afe3d5aa2e686ef1fb1,f0d49cc5281b9afe3d5aa2e686ef1fb1,true,true,Pasangan calon nomor urut 1,,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:10:07 +0700 WIB,true,61d00cd9115fc9d7af3a43d9bef42946,student,Setuju,FH,FH,true,true,ffb8147c0281e92ab3d151c38296f712,ffb8147c0281e92ab3d151c38296f712,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 3,,,,,,
true,,true,,2020-12-18 10:03:29 +0700 WIB,true,01aaa1c446ba17ca6b948aa63e6e2479,student,Setuju,FEB,FEB,true,true,dc2d619eac5b354045ff90c25dd65dc9,dc2d619eac5b354045ff90c25dd65dc9,true,true,Pasangan calon nomor urut 3,,Calon DPM nomor urut 1,,,,,
true,,true,,2020-12-18 10:01:36 +0700 WIB,true,d6ca4e5d815ff79f0a939b23e8bea154,student,Setuju,FP,FP,true,true,987116eb0286b8c30fb8257051029c46,987116eb0286b8c30fb8257051029c46,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 09:28:35 +0700 WIB,true,b1fd68acb8e582b98ac73d4578d056e6,student,Setuju,FIP,FIP,true,true,708f20a0f36ea41cd35e1e9816954d72,708f20a0f36ea41cd35e1e9816954d72,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 4,
true,,true,,2020-12-18 12:44:33 +0700 WIB,true,d2eb6dc531be7793648360f96253e70f,student,Setuju,FKis,FKis,true,true,03558b8c70cfdc4a782be0668107aaa9,03558b8c70cfdc4a782be0668107aaa9,true,true,Pasangan calon nomor urut 3,,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 11:08:27 +0700 WIB,true,59f2cb653604d8c8d82fc2757479a587,student,Setuju,FEB,FEB,true,true,f7e27ce3e6f7ab196ddb8c72d555bf4d,f7e27ce3e6f7ab196ddb8c72d555bf4d,true,true,Pasangan calon nomor urut 3,,Calon DPM nomor urut 2,,,,,
true,,true,,2020-12-18 09:51:06 +0700 WIB,true,a9badaa9da43c85cb00f298a89286751,student,Setuju,FT,FT,true,true,46e9632adb8e2b7c74d71e2960761915,46e9632adb8e2b7c74d71e2960761915,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 12:38:55 +0700 WIB,true,f44abb701d4d2dcf639bb8ce84c38b4f,student,Setuju,FISIB,FISIB,true,true,56af289208d92148caa7932799db8f7d,56af289208d92148caa7932799db8f7d,true,true,Pasangan calon nomor urut 2,,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:40:20 +0700 WIB,true,8b9b40662c02b0162debe8856b94b704,student,Setuju,FKis,FKis,true,true,155fa5328bad7903022c4a2c9dd26887,155fa5328bad7903022c4a2c9dd26887,true,true,Pasangan calon nomor urut 1,,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:16:41 +0700 WIB,true,f2779e5efb45da8f5182d2b8b3f05382,student,Setuju,FP,FP,true,true,7e6892934a10cbdf11c4251737ebbd5c,7e6892934a10cbdf11c4251737ebbd5c,true,true,Pasangan calon nomor urut 3,,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 10:49:14 +0700 WIB,true,2559574ed44de5a5153a6b22fd6ba13b,student,Setuju,FEB,FEB,true,true,a37c62547b5132d301c81349c5967a28,a37c62547b5132d301c81349c5967a28,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,,
true,,true,,2020-12-18 09:40:54 +0700 WIB,true,c2eced2b9b0320f1fce57df2b6c58924,student,Setuju,FT,FT,true,true,e3b38903301b955e9927bc7495c548e7,e3b38903301b955e9927bc7495c548e7,true,true,Pasangan calon nomor urut 2,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 09:18:54 +0700 WIB,true,0b401f2cc32f04921a78fc6247b6ca44,student,Setuju,FH,FH,true,true,854b15c2ec135d3b9689ff0bd0edfd7f,854b15c2ec135d3b9689ff0bd0edfd7f,true,true,Pasangan calon nomor urut 1,Calon DPM nomor urut 3,,,,,,
true,,true,,2020-12-18 10:52:51 +0700 WIB,true,4cc41a5770ad279a092ba22407c617d1,student,Setuju,FT,FT,true,true,a37c62547b5132d301c81349c5967a28,a37c62547b5132d301c81349c5967a28,true,true,Pasangan calon nomor urut 3,,,,Calon DPM nomor urut 3,,,
